user_id,age,income_bracket,device_type,user_type,region,tech_savviness,filed_2023,time_to_complete_2023,sessions_2023,support_tickets_2023,early_login_2024,used_smart_assistant,filed_2024,time_to_complete_2024,sessions_2024,support_tickets_2024,satisfaction_2024,time_improvement,session_improvement
user_000000,41,50k-75k,tablet,returning,Midwest,41,True,113,3,0,False,True,True,75,1,0,9.61933100676659,38,2
user_000001,37,<30k,desktop,returning,Midwest,43,True,54,1,0,False,False,True,38,3,0,7.416109846573303,16,-2
user_000002,19,30k-50k,mobile,new,East,61,True,62,2,0,False,False,True,60,1,0,7.508820809903639,2,1
user_000003,66,75k-100k,mobile,new,East,31,True,99,3,0,True,True,True,59,6,0,6.923858737133103,40,-3
user_000004,27,30k-50k,desktop,returning,West,85,True,57,3,0,True,True,False,0,0,0,,57,3
user_000005,35,<30k,desktop,returning,South,30,True,60,4,0,False,False,True,52,4,0,8.327434766596102,8,0
user_000006,57,75k-100k,mobile,new,East,16,False,0,0,0,False,False,True,85,3,0,7.738929708828464,-85,-3
user_000007,56,30k-50k,desktop,returning,West,47,True,97,2,0,False,False,True,103,2,0,9.275161039253707,-6,0
user_000008,22,<30k,mobile,new,East,49,True,101,4,0,True,True,False,0,0,0,,101,4
user_000009,49,100k-150k,mobile,new,East,59,False,0,0,0,False,True,True,69,1,0,6.293529803398482,-69,-1
user_000010,60,<30k,tablet,returning,West,48,True,38,2,0,False,True,True,33,2,0,9.709340593888728,5,0
user_000011,49,75k-100k,mobile,returning,West,74,True,106,4,0,False,True,True,78,3,0,7.03210227730732,28,1
user_000012,57,30k-50k,mobile,new,East,55,True,120,2,0,False,True,True,103,3,0,7.142389052259114,17,-1
user_000013,50,100k-150k,desktop,new,Midwest,83,True,30,3,0,True,True,True,20,1,0,8.273229753305083,10,2
user_000014,46,75k-100k,desktop,returning,East,45,True,99,4,0,False,True,True,82,3,0,8.085704999097311,17,1
user_000015,67,30k-50k,desktop,returning,West,37,False,0,0,0,False,True,True,89,1,0,8.562237508286149,-89,-1
user_000016,58,30k-50k,mobile,new,West,49,False,0,0,0,True,True,True,94,1,0,7.7152253189657385,-94,-1
user_000017,34,100k-150k,mobile,returning,East,80,True,132,4,1,True,True,True,132,4,0,9.114767205698897,0,0
user_000018,45,30k-50k,mobile,returning,South,41,True,44,1,0,False,False,True,43,1,1,6.457212462662564,1,0
user_000019,42,50k-75k,mobile,new,East,56,True,104,5,0,True,True,True,94,1,0,7.766252454460117,10,4
user_000020,18,50k-75k,desktop,returning,South,64,True,71,1,0,False,False,True,64,1,0,7.102200734040583,7,0
user_000021,42,30k-50k,mobile,returning,East,54,True,112,3,0,False,True,True,90,1,0,7.568106687719994,22,2
user_000022,62,<30k,desktop,returning,West,46,True,45,1,0,True,False,True,85,1,0,7.52257343661845,-40,0
